INSTNM,CITY,STATE,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL,TUITIONFEE_IN,TUITIONFEE_OUT
Alabama A & M University,Normal,AL,0.9175,430,510,410,500,939,10024,18634
University of Alabama at Birmingham,Birmingham,AL,0.7366,560,680,530,685,1234,8568,20400
Amridge University,Montgomery,AL,NULL,NULL,NULL,NULL,NULL,NULL,6950,6950
University of Alabama in Huntsville,Huntsville,AL,0.8257,617,720,620,770,1319,11122,23518
Alabama State University,Montgomery,AL,0.969,450,510,430,510,946,11068,19396
The University of Alabama,Tuscaloosa,AL,0.8268,550,660,530,680,1261,10780,30250
Central Alabama Community College,Alexander City,AL,NULL,NULL,NULL,NULL,NULL,NULL,4870,8800
Athens State University,Athens,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Auburn University at Montgomery,Montgomery,AL,0.9044,470,570,450,580,1082,8620,18292
Auburn University,Auburn,AL,0.8067,580,650,570,670,1300,11492,31124
Birmingham-Southern College,Birmingham,AL,0.5381,570,660,540,650,1230,18238,18238
Chattahoochee Valley Community College,Phenix City,AL,NULL,NULL,NULL,NULL,NULL,NULL,4860,8790
South University-Montgomery,Montgomery,AL,NULL,NULL,NULL,NULL,NULL,NULL,17014,17014
Enterprise State Community College,Enterprise,AL,NULL,NULL,NULL,NULL,NULL,NULL,4800,8730
Coastal Alabama Community College,Bay Minette,AL,NULL,NULL,NULL,NULL,NULL,NULL,4800,8730
Faulkner University,Montgomery,AL,0.7833,500,590,500,570,1066,22310,22310
Gadsden State Community College,Gadsden,AL,NULL,NULL,NULL,NULL,NULL,NULL,3888,7032
New Beginning College of Cosmetology,Albertville,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
George C Wallace Community College-Dothan,Dothan,AL,NULL,NULL,NULL,NULL,NULL,NULL,4740,8670
George C Wallace State Community College-Hanceville,Hanceville,AL,NULL,NULL,NULL,NULL,NULL,NULL,4800,8730
George C Wallace State Community College-Selma,Selma,AL,NULL,NULL,NULL,NULL,NULL,NULL,4500,8430
Herzing University-Birmingham,Birmingham,AL,0.7826,NULL,NULL,NULL,NULL,NULL,14200,14200
Huntingdon College,Montgomery,AL,0.5929,530,595,505,585,1076,27400,27400
Heritage Christian University,Florence,AL,0.2353,NULL,NULL,NULL,NULL,NULL,11532,11532
J. F. Drake State Community and Technical College,Huntsville,AL,NULL,NULL,NULL,NULL,NULL,NULL,4770,8700
J F Ingram State Technical College,Deatsville,AL,NULL,NULL,NULL,NULL,NULL,NULL,5400,5400
Jacksonville State University,Jacksonville,AL,0.5479,480,590,450,570,1084,11120,20840
Jefferson State Community College,Birmingham,AL,NULL,NULL,NULL,NULL,NULL,NULL,4860,8790
John C Calhoun State Community College,Tanner,AL,NULL,NULL,NULL,NULL,NULL,NULL,4880,8810
Judson College,Marion,AL,0.3724,NULL,NULL,NULL,NULL,1020,18540,18540
Lawson State Community College,Birmingham,AL,NULL,NULL,NULL,NULL,NULL,NULL,4800,8730
University of West Alabama,Livingston,AL,0.3493,440,520,420,500,1041,10990,20090
Lurleen B Wallace Community College,Andalusia,AL,NULL,NULL,NULL,NULL,NULL,NULL,4800,8730
Marion Military Institute,Marion,AL,0.5761,560,650,540,650,1147,9418,15418
Miles College,Fairfield,AL,NULL,NULL,NULL,NULL,NULL,NULL,12464,12464
University of Mobile,Mobile,AL,0.4566,540,590,470,570,1166,23860,23860
University of Montevallo,Montevallo,AL,0.532,520,620,510,620,1135,13708,26728
Northwest-Shoals Community College,Muscle Shoals,AL,NULL,NULL,NULL,NULL,NULL,NULL,4771,8701
University of North Alabama,Florence,AL,0.8878,520,610,495,570,1148,10620,20220
Northeast Alabama Community College,Rainsville,AL,NULL,NULL,NULL,NULL,NULL,NULL,4800,8730
Oakwood University,Huntsville,AL,0.6473,450,578,403,530,1010,19990,19990
Reid State Technical College,Evergreen,AL,NULL,NULL,NULL,NULL,NULL,NULL,4860,8790
Bishop State Community College,Mobile,AL,NULL,NULL,NULL,NULL,NULL,NULL,4740,8610
Samford University,Birmingham,AL,0.8331,550,640,520,610,1223,32850,32850
Selma University,Selma,AL,NULL,NULL,NULL,NULL,NULL,NULL,7280,7280
Shelton State Community College,Tuscaloosa,AL,NULL,NULL,NULL,NULL,NULL,NULL,4541,8471
Snead State Community College,Boaz,AL,NULL,NULL,NULL,NULL,NULL,NULL,4950,8880
University of South Alabama,Mobile,AL,0.7869,520,620,510,600,1166,8396,16292
Spring Hill College,Mobile,AL,0.4978,510,610,515,590,1131,40648,40648
Stillman College,Tuscaloosa,AL,0.3296,NULL,NULL,NULL,NULL,NULL,11292,11292
Talladega College,Talladega,AL,NULL,NULL,NULL,NULL,NULL,NULL,13846,13846
H Councill Trenholm State Community College,Montgomery,AL,NULL,NULL,NULL,NULL,NULL,NULL,4710,8640
Troy University,Troy,AL,0.8757,470,550,460,540,1079,8908,16708
Tuskegee University,Tuskegee,AL,0.5173,460,558,420,540,1029,22614,22614
